method,family,metric,value,ci_low,ci_high,ci_kind,scope,frame,alignment_length,reference_n,n_generated,n_reference,n_templates,recomputed,source_file
our EvoFlows port,ty1,edits_per_sequence,4.58,3.7325000000000004,5.505,mean_over_templates,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,pairwise_pooled,24.471,,,,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,spectrum_mmd,0.9839493127188985,,,,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,kl_composition_pooled,0.0005027783198212701,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,kl_positional,0.07131588519880379,,,,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,covariance_agreement,0.9118676208523727,0.7390524555901693,0.8934290323193403,template_resample_spread,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,covariance_ceiling,0.9533611396375945,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,mip_agreement,0.8267047022284507,0.5819527383051233,0.8055297695036329,template_resample_spread,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,mip_ceiling,0.9316800071756081,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,js_positional,0.012578391625686178,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,entropy_delta,0.06753928525302488,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,ty1,profile_log_likelihood,-64.00880861735737,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
our EvoFlows port,her2vh,edits_per_sequence,4.0825,3.5575,4.775,mean_over_templates,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,pairwise_pooled,24.7315,,,,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,spectrum_mmd,1.0209554348746215,,,,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,kl_composition_pooled,0.0006257719700752691,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,kl_positional,0.0524225956910202,,,,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,covariance_agreement,0.9344764730964324,0.7207997761716116,0.9180017386314514,template_resample_spread,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,covariance_ceiling,0.9746792290147925,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,mip_agreement,0.8659005489593262,0.6293083356535407,0.8544853399981958,template_resample_spread,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,mip_ceiling,0.9282877914042152,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,js_positional,0.010258354192932058,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,entropy_delta,0.08332987065812747,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
our EvoFlows port,her2vh,profile_log_likelihood,-59.02911929677546,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
random mutations,ty1,edits_per_sequence,4.81,4.76,4.8575,mean_over_templates,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,pairwise_pooled,30.0145,,,,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,spectrum_mmd,1.4054091930822166,,,,cross_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,kl_composition_pooled,0.0007678079708339676,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,kl_positional,0.1628971810318648,,,,cross_study,disjoint,119,200,400,200,20,True,metrics/disjoint/editor-ty1.json
random mutations,ty1,covariance_agreement,0.8482986354010351,0.6476038635996817,0.8333371250188688,template_resample_spread,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,mip_agreement,0.6616755269807338,0.36848009619959077,0.6547257702471676,template_resample_spread,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,js_positional,0.022344214352140804,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,ty1,entropy_delta,0.15207917732108234,,,,within_study,disjoint,119,200,400,200,20,False,metrics/disjoint/editor-ty1.json
random mutations,her2vh,edits_per_sequence,3.8875,3.8549999999999995,3.9175000000000004,mean_over_templates,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
random mutations,her2vh,pairwise_pooled,29.076,,,,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
random mutations,her2vh,spectrum_mmd,1.376787474521748,,,,cross_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
random mutations,her2vh,kl_composition_pooled,0.0007902706159202486,,,,within_study,disjoint,118,200,400,200,20,False,metrics/disjoint/editor-her2vh.json
random mutations,her2vh,kl_positional,0.12493574189397115,,,,cross_study,disjoint,118,200,400,200,20,True,metrics/disjoint/editor-her2vh.json
